	Liked	Review
86	0	poor batter meat ratio made chicken tender unsatisfi
87	1	say food amaz
88	1	omelet die
89	1	everyth fresh delici
90	0	summari larg disappoint dine experi
91	1	like realli sexi parti mouth outrag flirt hottest person parti
92	0	never hard rock casino never ever step forward
93	1	best breakfast buffet
94	0	say bye bye tip ladi
95	0	never go
96	1	back
97	1	food arriv quickli
98	0	good
99	1	side cafe serv realli good food
100	1	server fantast found wife love roast garlic bone marrow ad extra meal anoth marrow go
101	1	good thing waiter help kept bloddi mari come
102	1	best buffet town price cannot beat
103	1	love mussel cook wine reduct duck tender potato dish delici
104	1	one better buffet
105	1	went tigerlilli fantast afternoon
106	1	food delici bartend attent person got great deal
107	1	ambienc wonder music play
108	1	go back next trip
109	1	sooooo good
110	0	real sushi lover let honest yama good
111	0	least min pass us order food arriv busi
112	1	realli fantast thai restaur definit worth visit
113	1	nice spici tender
114	1	good price
115	1	check
116	0	pretti gross
117	0	better atmospher
118	0	kind hard mess steak
119	0	although much like look sound place actual experi bit disappoint
120	0	know place manag serv blandest food ever eaten prepar indian cuisin
121	0	worst servic boot least worri
122	1	servic fine waitress friendli
123	1	guy steak steak love son steak best worst place said best steak ever eaten
124	1	thought ventur away get good sushi place realli hit spot night
125	0	host staff lack better word bitch
126	0	bland like place number reason want wast time bad review leav
127	1	phenomen food servic ambianc
128	0	return
129	1	definit worth ventur strip pork belli return next time vega
130	0	place way overpr mediocr food
131	1	penn vodka excel
132	1	good select food includ massiv meatloaf sandwich crispi chicken wrap delish tuna melt tasti burger
133	0	manag rude
134	1	delici nyc bagel good select cream chees real lox caper even
135	1	great subway fact good come everi subway meet expect
136	1	serious solid breakfast
137	1	one best bar food vega
138	0	extrem rude realli mani restaur would love dine weekend vega
139	1	drink never empti made realli great menu suggest
140	0	
141	0	waiter help friendli rare check us
142	0	husband ate lunch disappoint food servic
143	0	red curri much bamboo shoot tasti
144	1	nice blanket moz top feel like done cover subpar food
145	1	bathroom clean place well decor
146	0	menu alway chang food qualiti go servic extrem slow
147	0	servic littl slow consid serv peopl server food come slow pace
148	0	give thumb
149	0	watch waiter pay lot attent tabl ignor us
150	1	fianc came middl day greet seat right away
151	1	great restaur mandalay bay
152	0	wait forti five minut vain
153	0	crostini came salad stale
154	1	highlight great qualiti nigiri
155	1	staff friendli joint alway clean
156	1	differ cut piec day still wonder tender well well flavor
157	1	order voodoo pasta first time realli excel pasta sinc go gluten free sever year ago
158	1	place good
159	0	unfortun must hit bakeri leftov day everyth order stale
160	0	came back today sinc reloc still impress
161	1	seat immedi
162	1	menu divers reason price
163	0	avoid cost
164	1	restaur alway full never wait
165	1	delici
166	1	place hand one best place eat phoenix metro area
167	0	go look good food
168	0	never treat bad
169	1	bacon hella salti
170	0	also order spinach avocado salad ingredi sad dress liter zero tast
171	1	realli vega fine dine use right menu hand ladi price list
172	1	waitress friendli
173	1	lordi khao soi dish miss curri lover
174	1	everyth menu terrif also thrill made amaz accommod vegetarian daughter
175	0	perhap caught night judg review inspir go back
176	0	servic leav lot desir
177	1	atmospher modern hip maintain touch cozi
178	1	weekli haunt definit place come back everi
179	0	liter sat minut one ask take order
180	0	burger absolut flavor meat total bland burger overcook charcoal flavor
181	0	also decid send back waitress look like verg heart attack
182	0	dress treat rude
183	0	probabl dirt
184	1	love place hit spot want someth healthi lack quantiti flavor
185	1	order lemon raspberri ice cocktail also incred
186	0	food suck expect suck could imagin
187	1	interest decor
188	1	realli like crepe station
189	1	also serv hot bread butter home made potato chip bacon bit top origin good
190	1	watch prepar delici food
191	1	egg roll fantast
192	0	order arriv one gyro miss
193	1	salad wing ice cream dessert left feel quit satisfi
194	0	realli sure joey vote best hot dog valley reader phoenix magazin
195	1	best place go tasti bowl pho
196	0	live music friday total blow
197	0	never insult felt disrespect
198	1	friendli staff
199	1	worth drive
200	1	heard good thing place exceed everi hope could dream
201	1	food great serivc
202	0	warm beer help
203	1	great brunch spot
204	1	servic friendli invit
205	1	good lunch spot
206	0	live sinc first last time step foot place
207	0	worst experi ever
208	0	must night place
209	1	side delish mix mushroom yukon gold pure white corn beateou
210	0	bug never show would given sure side wall bug climb kitchen
211	0	minut wait salad realiz come time soon
212	1	friend love salmon tartar
213	0	go back
214	1	extrem tasti
215	1	waitress good though
216	0	soggi good
217	1	jamaican mojito delici
218	0	small worth price
219	1	food rich order accordingli
220	0	shower area outsid rins take full shower unless mind nude everyon see
221	0	servic bit lack
222	0	lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl
223	0	hope bode go busi someon cook come
224	0	either cold enough flavor bad
225	1	love bacon wrap date
226	1	unbeliev bargain
227	1	folk otto alway make us feel welcom special
228	0	main also uninspir
229	1	place first pho amaz
230	1	wonder experi made place must stop whenev town
231	0	food bad enough enjoy deal world worst annoy drunk peopl
232	1	fun chef
233	0	order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
234	1	great place coupl drink watch sport event wall cover tv
235	0	possibl give zero star
236	0	descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc
237	1	say would hardest decis honestli dish tast suppos tast amaz
238	0	roll eye may stay sure go back tri
239	1	everyon attent provid excel custom servic
240	0	horribl wast time money
241	1	dish quit flavour
242	0	time side restaur almost empti excus
243	0	busi either also build freez cold
244	0	like review said pay eat place
245	0	drink took close minut come one point
246	1	serious flavor delight folk
247	1	much better ayc sushi place went vega
248	1	light dark enough set mood
249	0	base sub par servic receiv effort show gratitud busi go back
250	1	owner realli great peopl
251	0	noth privileg work eat
252	1	greek dress creami flavor
253	0	overal think would take parent place made similar complaint silent felt
254	1	pizza good peanut sauc tasti
255	1	tabl servic pretti fast
256	1	fantast servic
257	0	well would given godfath zero star possibl
258	1	know make
259	0	tough short flavor
260	1	hope place stick around
261	0	bar vega ever recal charg tap water
262	1	restaur atmospher exquisit
263	1	good servic clean inexpens boot
264	1	seafood fresh gener portion
265	1	plu buck
266	0	servic par either
267	1	thu far visit twice food absolut delici time
268	1	good year ago
269	0	self proclaim coffe cafe wildli disappoint
270	1	veggitarian platter world
271	1	cant go wrong food
272	1	beat
273	1	stop place madison ironman friendli kind staff
274	1	chef friendli good job
275	0	better dedic boba tea spot even jenni pho
276	1	like patio servic outstand
277	1	goat taco skimp meat wow flavor
278	0	think
279	0	mac salad pretti bland get
280	1	went bachi burger friend recommend disappoint
281	0	servic stink
282	0	wait wait
283	0	place qualiti sushi qualiti restaur
284	1	would definit recommend wing well pizza
285	1	great pizza salad
286	0	thing went wrong burn saganaki
287	0	wait hour breakfast could done time better home
288	1	place amaz
289	0	hate disagre fellow yelper husband disappoint place
290	0	wait hour never got either pizza mani around us came later
291	0	know slow
292	1	staff great food delish incred beer select
293	0	live neighborhood disappoint back conveni locat
294	1	know pull pork could soooo delici
295	1	get incred fresh fish prepar care
296	0	go gave star rate pleas know third time eat bachi burger write review
297	1	love fact everyth menu worth
298	0	never dine place
299	1	food excel servic good
300	1	good beer drink select good food select
301	0	pleas stay away shrimp stir fri noodl
302	0	potato chip order sad could probabl count mani chip box probabl around
303	0	food realli bore
304	1	good servic check
305	0	greedi corpor never see anoth dime
306	0	never ever go back
307	0	much like go back get pass atroci servic never return
308	1	summer dine charm outdoor patio delight
309	1	expect good
310	1	fantast food
311	0	order toast english muffin came untoast
312	1	food good
313	0	never go back
314	1	great food price high qualiti hous made
315	0	bu boy hand rude
316	0	point friend basic figur place joke mind make publicli loudli known
317	1	back good bbq lighter fare reason price tell public back old way
318	1	consid two us left full happi go wrong
319	1	bread made hous
320	0	downsid servic
321	0	also fri without doubt worst fri ever
322	1	servic except food good review
323	1	coupl month later return amaz meal
324	1	favorit place town shawarrrrrrma
325	1	black eye pea sweet potato unreal
326	1	disappoint
327	1	could serv vinaigrett may make better overal dish still good
328	0	go far mani place never seen restaur serv egg breakfast especi
329	0	mom got home immedi got sick bite salad
330	0	server pleasant deal alway honor pizza hut coupon
331	1	truli unbeliev good glad went back
332	1	fantast servic pleas atmospher
333	0	everyth gross
334	1	love place
335	1	great servic food
336	0	first bathroom locat dirti seat cover replenish plain yucki
337	0	burger got gold standard burger kind disappoint
338	1	omg food delicioso
339	0	noth authent place
340	0	spaghetti noth special whatsoev
341	1	dish salmon best great
342	1	veget fresh sauc feel like authent thai
343	1	worth drive tucson
344	0	select probabl worst seen vega none
345	1	pretti good beer select
346	1	place like chipotl better
347	1	classi warm atmospher fun fresh appet succul steak basebal steak
348	1	star brick oven bread app
349	1	eaten multipl time time food delici
350	0	sat anoth ten minut final gave left
351	0	terribl
352	1	everyon treat equal special
353	0	take min pancak egg
354	1	delici
355	1	good side staff genuin pleasant enthusiast real treat
356	0	sadli gordon ramsey steak place shall sharpli avoid next trip vega
357	1	alway even wonder food delici
358	1	best fish ever life
359	1	bathroom next door nice
360	0	buffet small food offer bland
361	1	outstand littl restaur best food ever tast
362	1	pretti cool would say
363	0	definit turn doubt back unless someon els buy
364	1	server great job handl larg rowdi tabl
365	0	find wast food despic food
366	0	wife lobster bisqu soup lukewarm
367	1	would come back sushi crave vega
368	1	staff great ambianc great
369	1	deserv star
370	0	left stomach ach felt sick rest day
371	0	drop ball
372	1	dine space tini elegantli decor comfort
373	1	custom order way like usual eggplant green bean stir fri love
374	0	bean rice mediocr best
375	1	best taco town far
376	0	took back money got outta
377	1	interest part town place amaz
378	0	rude inconsider manag
379	0	staff friendli wait time serv horribl one even say hi first minut
380	0	back
381	1	great dinner
382	1	servic outshin definit recommend halibut
383	0	food terribl
384	0	never ever go back told mani peopl happen
385	0	recommend unless car break front starv
386	1	come back everi time vega
387	0	place deserv one star food
388	0	disgrac
389	1	def come back bowl next time
390	1	want healthi authent ethic food tri place
391	1	continu come ladi night andddd date night highli recommend place anyon area
392	1	sever time past experi alway great
393	1	walk away stuf happi first vega buffet experi
394	1	servic excel price pretti reason consid vega locat insid crystal shop mall aria
395	1	summar food incred nay transcend noth bring joy quit like memori pneumat condiment dispens
396	0	probabl one peopl ever go ian like
397	1	kid pizza alway hit lot great side dish option kiddo
398	1	servic perfect famili atmospher nice see
399	1	cook perfect servic impecc
400	0	one simpli disappoint
401	0	overal disappoint qualiti food bouchon
402	0	account know get screw
403	1	great place eat remind littl mom pop shop san francisco bay area
404	1	today first tast buldogi gourmet hot dog tell ever thought possibl
405	0	left frustrat
406	1	definit soon
407	1	food realli good got full petti fast
408	1	servic fantast
409	0	total wast time
410	1	know kind best ice tea
411	1	come hungri leav happi stuf
412	0	servic give star
413	1	assur disappoint
414	0	take littl bad servic food suck
415	0	gave tri eat crust teeth still sore
416	0	complet gross
417	1	realli enjoy eat
418	1	first time go think quickli becom regular
419	1	server nice even though look littl overwhelm need stay profession friendli end
420	1	dinner companion told everyth fresh nice textur tast
421	0	ground right next tabl larg smear step track everywher pile green bird poop
422	0	furthermor even find hour oper websit
423	0	tri like place time think done
424	0	mistak
425	1	complaint
426	1	serious good pizza expert connisseur topic
427	0	waiter jerk
428	0	strike want rush
429	1	nicest restaur owner ever come across
430	0	never come
431	1	love biscuit
432	1	servic quick friendli
433	0	order appet took minut pizza anoth minut
434	1	absolutley fantast
435	0	huge awkward lb piec cow th gristl fat
436	1	definit come back
437	1	like steiner dark feel like bar
438	1	wow spici delici
439	1	familiar check
440	0	take busi dinner dollar elsewher
441	1	love go back
442	1	anyway fs restaur wonder breakfast lunch
443	0	noth special
444	1	day week differ deal delici
445	1	mention combin pear almond bacon big winner
446	0	back
447	0	sauc tasteless
448	1	food delici spici enough sure ask spicier prefer way
449	1	ribey steak cook perfectli great mesquit flavor
450	0	think go back anytim soon
451	1	food gooodd
452	0	far sushi connoisseur definit tell differ good food bad food certainli bad food
453	0	insult
454	0	last time lunch bad
455	0	chicken wing contain driest chicken meat ever eaten
456	1	food good enjoy everi mouth enjoy relax venu coupl small famili group etc
457	1	nargil think great
458	1	best tater tot southwest
459	1	love place
460	0	definit worth paid
461	1	vanilla ice cream creami smooth profiterol choux pastri fresh enough
462	1	im az time new spot
463	0	manag worst
464	1	insid realli quit nice clean
465	1	food outstand price reason
466	0	think run back carli anytim soon food
467	0	due fact took minut acknowledg anoth minut get food kept forget thing
468	1	love margarita
469	1	first vega buffet disappoint
470	1	good though
471	0	one note ventil could use upgrad
472	1	great pork sandwich
473	0	wast time
474	0	total letdown would much rather go camelback flower shop cartel coffe
475	0	third chees friend burger cold
476	1	enjoy pizza brunch
477	1	steak well trim also perfectli cook
478	1	group claim would handl us beauti
479	1	love
480	0	ask bill leav without eat bring either
481	1	place jewel la vega exactli hope find nearli ten year live
482	0	seafood limit boil shrimp crab leg crab leg definit tast fresh
483	0	select food best
484	1	delici absolut back
485	1	small famili restaur fine dine establish
486	1	toro tartar cavier extraordinari like thinli slice wagyu white truffl
487	0	dont think back long time
488	0	attach ga station rare good sign
489	1	awesom
490	1	back mani time soon
491	1	menu much good stuff could decid
492	0	wors humili worker right front bunch horribl name call
493	1	conclus fill meal
494	1	daili special alway hit group
495	0	tragedi struck
496	1	pancak also realli good pretti larg
497	1	first crawfish experi delici
498	1	monster chicken fri steak egg time favorit
499	1	waitress sweet funni
500	1	also tast mom multi grain pumpkin pancak pecan butter amaz fluffi delici
501	0	rather eat airlin food serious
502	1	cant say enough good thing place
503	1	ambianc incred
504	1	waitress manag friendli
505	0	would recommend place
506	0	overal impress noca
507	0	gyro basic lettuc
508	0	terribl servic
509	0	thoroughli disappoint
510	1	much pasta love homemad hand made pasta thin pizza
511	1	give tri happi
512	1	far best cheesecurd ever
513	1	reason price also
514	1	everyth perfect night
515	1	food good typic bar food
516	0	drive get
517	1	first glanc love bakeri cafe nice ambianc clean friendli staff
518	0	anyway think go back
519	1	point finger item menu order disappoint
520	1	oh thing beauti restaur
521	1	gone go
522	0	greasi unhealthi meal
523	0	first time might last
524	1	burger amaz
525	0	similarli deliveri man say word apolog food minut late
526	0	way expens
527	1	sure order dessert even need pack go tiramisu cannoli die
528	1	first time wait next
529	1	bartend also nice
530	1	everyth good tasti
531	1	place two thumb way
532	1	best place vega breakfast check sat sun
533	1	love authent mexican food want whole bunch interest yet delici meat choos need tri place
534	0	terribl manag
535	1	excel new restaur experienc frenchman
536	0	zero star would give zero star
537	1	great steak great side great wine amaz dessert
538	0	worst martini ever
539	1	steak shrimp opinion best entre gc
540	1	opportun today sampl amaz pizza
541	0	wait thirti minut seat although vacant tabl folk wait
542	1	yellowtail carpaccio melt mouth fresh
543	0	tri go back even empti
544	0	go eat potato found stranger hair
545	1	spici enough perfect actual
546	1	last night second time dine happi decid go back
547	0	even hello right
548	0	dessert bit strang
549	1	boyfriend came first time recent trip vega could pleas qualiti food servic
550	1	realli recommend place go wrong donut place
551	1	nice ambianc
552	1	would recommend save room
553	0	guess mayb went night disgrac
554	0	howev recent experi particular locat good
555	0	know like restaur someth
556	0	avoid establish
557	0	think restaur suffer tri hard enough
558	1	tapa dish delici
559	1	heart place
560	0	salad bland vinegrett babi green heart palm
561	0	two felt disgust
562	1	good time
563	1	believ place great stop huge belli hanker sushi
564	1	gener portion great tast
565	0	never go back place never ever recommend place anyon
566	0	server went back forth sever time even much help
567	1	food delici
568	0	hour serious
569	0	consid theft
570	0	eew locat need complet overhaul
571	0	recent wit poor qualiti manag toward guest well
572	0	wait wait wait
573	1	also came back check us regularli excel servic
574	1	server super nice check us mani time
575	0	pizza tast old super chewi good way
576	0	swung give tri deepli disappoint
577	1	servic good compani better
578	1	staff also friendli effici
579	1	servic fan quick serv nice folk
580	0	boy sucker dri
581	0	rate
582	0	look authent thai food go els
583	1	steak recommend
584	0	pull car wait anoth minut acknowledg
585	1	great food great servic clean friendli set
586	1	assur back
587	0	hate thing much cheap qualiti black oliv
588	1	breakfast perpar great beauti present giant slice toast lightli dust powder sugar
589	0	kid play area nasti
590	1	great place fo take eat
591	1	waitress friendli happi accomod vegan veggi option
592	1	omg felt like never eaten thai food dish
593	0	extrem crumbi pretti tasteless
594	0	pale color instead nice char flavor
595	1	crouton also tast homemad extra plu
596	0	got home see driest damn wing ever
597	1	regular stop trip phoenix
598	1	realli enjoy crema caf expand even told friend best breakfast
599	0	good money
600	1	miss wish one philadelphia
601	0	got sit fairli fast end wait minut place order anoth minut food arriv
602	1	also best chees crisp town
603	1	good valu great food great servic
604	1	ask satisfi meal
605	1	food good
606	1	awesom
607	0	want leav
608	1	made drive way north scottsdal one bit disappoint
609	0	eat
610	0	owner realli realli need quit soooooo cheap let wrap freak sandwich two paper one
611	0	check place coupl year ago impress
612	0	chicken got definit reheat ok wedg cold soggi
613	0	sorri get food anytim soon
614	1	absolut must visit
615	1	cow tongu cheek taco amaz
616	0	friend like bloodi mari
617	0	despit hard rate busi actual rare give star
618	1	realli want make experi good one
619	0	return
620	0	chicken pho tast bland
621	0	disappoint
622	1	grill chicken tender yellow saffron season
623	0	drive thru mean want wait around half hour food somehow end go make us wait wait
624	1	pretti awesom place
625	1	ambienc perfect
626	0	best luck rude non custom servic focus new manag
627	0	grandmoth make roast chicken better one
628	0	ask multipl time wine list time ignor went hostess got one
629	1	staff alway super friendli help especi cool bring two small boy babi
630	1	four star food guy blue shirt great vibe still let us eat
631	1	roast beef sandwich tast realli good
632	0	even drastic sick
633	1	high qualiti chicken chicken caesar salad
634	0	order burger rare came done
635	1	promptli greet seat
636	0	tri go lunch madhous
637	1	proven dead wrong sushi bar qualiti great servic fast food impecc
638	0	wait hour seat greatest mood
639	1	good joint
640	1	macaron insan good
641	0	eat
642	1	waiter attent friendli inform
643	0	mayb cold would somewhat edibl
644	0	place lot promis fail deliv
645	0	bad experi
646	0	mistak
647	0	food averag best
648	1	great food
649	0	go back anytim soon
650	0	disappoint order big bay plater
651	1	great place relax awesom burger beer
652	1	perfect sit famili meal get togeth friend
653	0	much flavor poorli construct
654	1	patio seat comfort
655	0	fri rice dri well
656	1	hand favorit italian restaur
657	1	scream legit book somethat also pretti rare vega
658	1	fun experi
659	1	atmospher great love duo violinist play song request
660	1	person love hummu pita baklava falafel baba ganoush amaz eggplant
661	1	conveni sinc stay mgm
662	1	owner super friendli staff courteou
663	1	great
664	1	eclect select
665	1	sweet potato tot good onion ring perfect close
666	1	staff attent
667	1	chef gener time even came around twice take pictur
668	1	owner use work nobu place realli similar half price
669	0	googl mediocr imagin smashburg pop
670	0	dont go
671	1	promis disappoint
672	0	sushi lover avoid place mean
673	1	great doubl cheeseburg
674	1	awesom servic food
675	1	fantast neighborhood gem
676	1	wait go back
677	0	plantain worst ever tast
678	1	great place highli recommend
679	0	servic slow attent
680	1	gave star give star
681	0	staff spend time talk
682	1	dessert panna cotta amaz
683	1	good food great atmospher
684	1	damn good steak
685	0	total brunch fail
686	1	price reason flavor spot sauc home made slaw drench mayo
687	1	decor nice piano music soundtrack pleasant
688	1	steak amaz rge fillet relleno best seafood plate ever
689	1	good food good servic
690	1	absolut amaz
691	0	probabl back honest
692	1	definit back
693	1	sergeant pepper beef sandwich auju sauc excel sandwich well
694	1	hawaiian breez mango magic pineappl delight smoothi tri far good
695	0	went lunch servic slow
696	0	much say place walk expect amaz quickli disappoint
697	0	mortifi
698	0	needless say never back
699	0	anyway food definit fill price pay expect
700	0	chip came drip greas mostli edibl
701	0	realli impress strip steak
702	1	go sinc everi meal awesom
703	1	server nice attent serv staff
704	1	cashier friendli even brought food
705	0	work hospit industri paradis valley refrain recommend cibo longer
706	1	atmospher fun
707	0	would recommend other
708	1	servic quick even go order like like
709	0	mean realli get famou fish chip terribl
710	1	said mouth belli still quit pleas
711	0	thing
712	1	thumb
713	0	read pleas go
714	1	love grill pizza remind legit italian pizza
715	1	pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough
716	1	realli nice atmospher
717	0	tonight elk filet special suck
718	1	one bite hook
719	0	order old classic new dish go time sore disappoint everyth
720	1	cute quaint simpl honest
721	1	chicken delici season perfect fri outsid moist chicken insid
722	1	food great alway compliment chef
723	1	special thank dylan recommend order yummi tummi
724	1	awesom select beer
725	1	great food awesom servic
726	1	one nice thing ad gratuiti bill sinc parti larger expect tip
727	0	fli appl juic fli
728	1	han nan chicken also tasti
729	1	servic thought good
730	0	food bare lukewarm must sit wait server bring us
731	0	ryan bar definit one edinburgh establish revisit
732	1	nicest chines restaur
733	1	overal like food servic
734	1	also serv indian naan bread hummu spici pine nut sauc world
735	0	probabl never come back recommend
736	0	friend pasta also bad bare touch
737	1	tri airport experi tasti food speedi friendli servic
738	1	love decor chines calligraphi wall paper
739	1	never anyth complain
740	1	restaur clean famili restaur feel
741	0	way fri
742	0	sure long stood long enough begin feel awkwardli place
743	0	open sandwich impress good way
744	0	back
745	1	warm feel servic felt like guest special treat
746	1	extens menu provid lot option breakfast
747	1	alway order vegetarian menu dinner wide array option choos
748	0	watch price inflat portion get smaller manag attitud grow rapidli
749	1	wonder lil tapa ambienc made feel warm fuzzi insid
750	1	got enjoy seafood salad fabul vinegrett
751	1	wonton thin thick chewi almost melt mouth
752	1	level spici perfect spice whelm soup
753	1	sat right time server get go fantast
754	0	main thing enjoy crowd older crowd around mid
755	1	side town definit spot hit
756	0	wait minut get drink longer get arepa
757	1	great place eat
758	1	jalapeno bacon soooo good
759	0	servic poor that nice
760	1	food good servic good price good
761	0	place clean food oh stale
762	0	chicken dish ok beef like shoe leather
763	0	servic beyond bad
764	1	happi
765	0	tast like dirt
766	1	one place phoenix would defin go back
767	1	block amaz
768	1	close hous low key non fanci afford price good food
769	1	hot sour egg flower soup absolut star
770	0	sashimi poor qualiti soggi tasteless
771	1	great time famili dinner sunday night
772	0	food tasti say real tradit hunan style
773	0	bother slow servic
774	1	flair bartend absolut amaz
775	0	frozen margarita way sugari tast
776	1	good order twice
777	0	nutshel restaraunt smell like combin dirti fish market sewer
778	0	girlfriend veal bad
779	0	unfortun good
780	1	pretti satifi experi
781	1	join club get awesom offer via email
782	1	perfect someon like beer ice cold case even colder
783	0	bland flavorless good way describ bare tepid meat
784	0	chain fan beat place easili
785	1	nacho must
786	0	come back
787	1	mani word say place everyth pretti well
788	1	staff super nice quick even crazi crowd downtown juri lawyer court staff
789	1	great atmospher friendli fast servic
790	1	receiv pita huge lot meat thumb
791	0	food arriv meh
792	0	pay hot dog fri look like came kid meal wienerschnitzel idea good meal
793	1	classic main lobster roll fantast
794	0	brother law work mall ate day guess sick night
795	1	good go review place twice herea tribut place tribut event held last night
796	1	chip salsa realli good salsa fresh
797	1	place great
798	0	mediocr food
799	1	get insid impress place
800	0	super pissd
801	1	servic super friendli
802	0	sad littl veget overcook
803	1	place nice surpris
804	1	golden crispi delici
805	0	high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat
806	1	could eat bruschetta day devin
807	0	singl employe came see ok even need water refil final serv us food
808	1	lastli mozzarella stick best thing order
809	1	first time ever came amaz experi still tell peopl awesom duck
810	0	server neglig need made us feel unwelcom would suggest place
811	0	servic terribl though
812	0	place overpr consist boba realli overpr
813	0	pack
814	1	love place
815	1	say dessert yummi
816	0	food terribl
817	1	season fruit fresh white peach pure
818	0	kept get wors wors offici done
819	0	place honestli blown
820	0	definit would eat
821	0	wast money
822	1	love put food nice plastic contain oppos cram littl paper takeout box
823	1	cr pe delic thin moist
824	0	aw servic
825	0	ever go
826	0	food qualiti horribl
827	0	price think place would much rather gone
828	0	servic fair best
829	0	love sushi found kabuki price hip servic
830	0	favor stay away dish
831	0	poor servic
832	0	one tabl thought food averag worth wait
833	1	best servic food ever maria server good friendli made day
834	1	excel
835	0	paid bill tip felt server terribl job
836	1	lunch great experi
837	0	never bland food surpris consid articl read focus much spice flavor
838	0	food way overpr portion fuck small
839	1	recent tri caballero back everi week sinc
840	0	buck head realli expect better food
841	1	food came good pace
842	1	ate twice last visit especi enjoy salmon salad
843	0	back
844	0	could believ dirti oyster
845	0	place deserv star
846	0	would recommend place
847	1	fact go round star awesom
848	0	disbelief dish qualifi worst version food ever tast
849	0	bad day low toler rude custom servic peopl job nice polit wash dish otherwis
850	1	potato great biscuit
851	0	probabl would go
852	1	flavor perfect amount heat
853	1	price reason servic great
854	0	wife hate meal coconut shrimp friend realli enjoy meal either
855	0	fella got huevo ranchero look appeal
856	1	went happi hour great list wine
857	1	may say buffet pricey think get pay place get quit lot
858	0	probabl come back
859	0	worst food servic
860	1	place pretti good nice littl vibe restaur
861	1	talk great custom servic cours back
862	0	hot dish hot cold dish close room temp watch staff prepar food bare hand glove everyth deep fri oil
863	1	love fri bean
864	1	alway pleasur deal
865	1	plethora salad sandwich everyth tri get seal approv
866	1	place awesom want someth light healthi summer
867	1	sushi strip place go
868	1	servic great even manag came help tabl
869	0	feel dine room colleg cook cours high class dine servic slow best
870	0	start review two star edit give one
871	0	worst sushi ever eat besid costco
872	1	excel restaur highlight great servic uniqu menu beauti set
873	1	boyfriend sat bar complet delight experi
874	0	weird vibe owner
875	0	hardli meat
876	0	better bagel groceri store
877	1	go place gyro
878	1	love owner chef one authent japanes cool dude
879	0	burger good pizza use amaz doughi flavorless
880	0	found six inch long piec wire salsa
881	0	servic terribl food mediocr
882	1	defin enjoy
883	0	order albondiga soup warm tast like tomato soup frozen meatbal
